"ID","AGE","GENDER","RACE","DRIVING_EXPERIENCE","EDUCATION","INCOME","CREDIT_SCORE","VEHICLE_OWNERSHIP","VEHICLE_YEAR","MARRIED","CHILDREN","POSTAL_CODE","ANNUAL_MILEAGE","VEHICLE_TYPE","SPEEDING_VIOLATIONS","DUIS","PAST_ACCIDENTS","OUTCOME"
569520,"3","0","1","0","1","3",0.629027313918201,"1","1","0","1",10238,"12000","0","0","0","0",0
750365,"0","1","1","0","0","0",0.357757117018463,"0","0","0","0",10238,"16000","0","0","0","0",1
199901,"0","0","1","0","1","1",0.493145785218198,"1","0","0","0",10238,"11000","0","0","0","0",0
478866,"0","1","1","0","2","1",0.206012850732456,"1","0","0","1",32765,"11000","0","0","0","0",0
731664,"1","1","1","1","0","1",0.388365888157218,"1","0","0","0",32765,"12000","0","2","0","1",1
877557,"2","0","1","2","1","3",0.619127372584739,"1","1","0","1",10238,"13000","0","3","0","3",0
930134,"3","1","1","3","1","3",0.492943550219534,"0","1","1","1",10238,"13000","0","7","0","3",0
461006,"1","0","1","0","2","1",0.468689297434465,"0","1","0","1",10238,"14000","0","0","0","0",1
68366,"2","0","1","2","2","1",0.521814936297107,"0","0","1","0",10238,"13000","0","0","0","0",0
445911,"2","0","1","0","1","3",0.561531031938365,"1","0","0","1",32765,"11000","0","0","0","0",1
275820,"3","1","1","3","1","3",0.620361264012603,"1","1","1","1",10238,"10000","0","6","2","7",0
521399,"3","0","1","3","1","3",0.729830881559394,"1","1","1","0",32765,"12000","0","4","0","0",0
429728,"2","1","1","2","1","3",0.637044743590245,"1","0","1","1",10238,"8000","0","4","1","2",0
569640,"0","0","1","0","2","3",0.59125997174597,"1","0","0","1",10238,"12000","0","0","0","0",0
980181,"1","1","1","1","1","2",0.461567963043945,"1","0","1","1",10238,"12000","0","0","2","1",0
906223,"1","0","1","0","1","3",0.762797941081613,"0","1","1","0",10238,"12000","0","0","0","0",0
517747,"3","1","1","3","2","3",0.796174846245699,"1","0","1","1",32765,"12000","0","10","2","1",0
24851,"0","1","1","0","0","0",0.525032758615479,"0","0","1","0",32765,"12000","0","0","0","0",1
104086,"1","0","1","0","2","3",0.680594279507338,"1","0","0","1",32765,"12000","0","0","0","0",1
240658,"0","0","1","0","1","1",0.417713981623119,"1","0","0","1",10238,"18000","0","0","0","0",1
484399,"0","0","1","0","1","1",0.409513530651607,"0","0","0","0",10238,"17000","0","0","0","0",1
912828,"0","1","1","0","1","2",0.553260053195238,"1","1","1","1",32765,"8000","0","0","0","0",1
892754,"2","1","1","2","0","0",0.330950261858189,"1","0","1","1",10238,"13000","0","3","1","1",0
217,"0","1","1","0","0","0",0.525032758615479,"0","0","0","0",10238,"17000","0","0","0","0",0
633896,"3","1","1","3","1","3",0.500630660442716,"1","0","1","1",32765,"7000","0","13","2","3",0
